poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,party,answer,candidate_id,candidate_name,pct
84071,1773,Research America,945,West Virginia MetroNews,Research America,268,Repass,B/C,,West Virginia,8/16/23,8/26/23,,"",,180878,402,rv,,rv,,9/1/23 11:12,"",https://wvmetronews.com/2023/09/01/west-virginia-poll-justice-has-edge-in-senate-race-moore-capito-out-ahead-in-race-for-governor/,"",false,,9479,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Manchin,28805,"Joe Manchin, III",38.0
84071,1773,Research America,945,West Virginia MetroNews,Research America,268,Repass,B/C,,West Virginia,8/16/23,8/26/23,,"",,180878,402,rv,,rv,,9/1/23 11:12,"",https://wvmetronews.com/2023/09/01/west-virginia-poll-justice-has-edge-in-senate-race-moore-capito-out-ahead-in-race-for-governor/,"",false,,9479,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Justice,28808,James Justice,51.0
84071,1773,Research America,945,West Virginia MetroNews,Research America,268,Repass,B/C,,West Virginia,8/16/23,8/26/23,,"",,180879,402,rv,,rv,,9/1/23 11:12,"",https://wvmetronews.com/2023/09/01/west-virginia-poll-justice-has-edge-in-senate-race-moore-capito-out-ahead-in-race-for-governor/,"",false,,9479,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Manchin,28805,"Joe Manchin, III",45.0
84071,1773,Research America,945,West Virginia MetroNews,Research America,268,Repass,B/C,,West Virginia,8/16/23,8/26/23,,"",,180879,402,rv,,rv,,9/1/23 11:12,"",https://wvmetronews.com/2023/09/01/west-virginia-poll-justice-has-edge-in-senate-race-moore-capito-out-ahead-in-race-for-governor/,"",false,,9479,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Mooney,28806,Alexander X. Mooney,41.0
84067,1624,J.L. Partners,"","",J.L. Partners,619,J.L. Partners,B/C,Live Phone/Text/Online Ad,Montana,8/12/23,8/17/23,,"",,180875,741,lv,,lv,,8/31/23 09:21,"",https://static1.squarespace.com/static/5db0ca668552dd5ab1168a91/t/64f08041112ed461e30ba1ea/1693483073694/All+Voters+Toplines+V3.pdf,"",false,,9519,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Tester,30959,Jon Tester,42.0
84067,1624,J.L. Partners,"","",J.L. Partners,619,J.L. Partners,B/C,Live Phone/Text/Online Ad,Montana,8/12/23,8/17/23,,"",,180875,741,lv,,lv,,8/31/23 09:21,"",https://static1.squarespace.com/static/5db0ca668552dd5ab1168a91/t/64f08041112ed461e30ba1ea/1693483073694/All+Voters+Toplines+V3.pdf,"",false,,9519,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Sheehy,31060,Tim Sheehy,46.0
84067,1624,J.L. Partners,"","",J.L. Partners,619,J.L. Partners,B/C,Live Phone/Text/Online Ad,Montana,8/12/23,8/17/23,,"",,180876,741,lv,,lv,,8/31/23 09:21,"",https://static1.squarespace.com/static/5db0ca668552dd5ab1168a91/t/64f08041112ed461e30ba1ea/1693483073694/All+Voters+Toplines+V3.pdf,"",false,,9519,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Tester,30959,Jon Tester,43.0
84067,1624,J.L. Partners,"","",J.L. Partners,619,J.L. Partners,B/C,Live Phone/Text/Online Ad,Montana,8/12/23,8/17/23,,"",,180876,741,lv,,lv,,8/31/23 09:21,"",https://static1.squarespace.com/static/5db0ca668552dd5ab1168a91/t/64f08041112ed461e30ba1ea/1693483073694/All+Voters+Toplines+V3.pdf,"",false,,9519,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Rosendale,30961,Matt Rosendale,46.0
83918,143,EPIC/MRA,"","",EPIC-MRA,84,EPIC-MRA,B+,Live Phone,Michigan,8/6/23,8/11/23,,"",,179540,600,lv,,lv,,8/17/23 19:45,"",https://ssl2002.webhosting.comcast.net/epic-mra/press/Statewide_Aug2023_Media_Freq.pdf,"",false,,9515,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Slotkin,31025,Elissa Slotkin,42.0
83918,143,EPIC/MRA,"","",EPIC-MRA,84,EPIC-MRA,B+,Live Phone,Michigan,8/6/23,8/11/23,,"",,179540,600,lv,,lv,,8/17/23 19:45,"",https://ssl2002.webhosting.comcast.net/epic-mra/press/Statewide_Aug2023_Media_Freq.pdf,"",false,,9515,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Rogers,31045,Mike Rogers,37.0
83357,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,Arizona,8/2/23,8/4/23,,"",,178510,1337,rv,,rv,,8/8/23 09:10,"",https://emersoncollegepolling.com/arizona-2024-senator-kyrsten-sinemas-independent-candidacy-could-help-democrats-for-u-s-senate/,"",false,,9505,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Gallego,30920,Ruben Gallego,35.5
83357,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,Arizona,8/2/23,8/4/23,,"",,178510,1337,rv,,rv,,8/8/23 09:10,"",https://emersoncollegepolling.com/arizona-2024-senator-kyrsten-sinemas-independent-candidacy-could-help-democrats-for-u-s-senate/,"",false,,9505,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Lamb,30994,Mark Lamb,29.1
83357,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,Arizona,8/2/23,8/4/23,,"",,178510,1337,rv,,rv,,8/8/23 09:10,"",https://emersoncollegepolling.com/arizona-2024-senator-kyrsten-sinemas-independent-candidacy-could-help-democrats-for-u-s-senate/,"",false,,9505,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,IND,Sinema,30922,Kyrsten Sinema,20.6
83357,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,Arizona,8/2/23,8/4/23,,"",,178511,1337,rv,,rv,,8/8/23 09:10,"",https://emersoncollegepolling.com/arizona-2024-senator-kyrsten-sinemas-independent-candidacy-could-help-democrats-for-u-s-senate/,"",false,,9505,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Gallego,30920,Ruben Gallego,41.7
83357,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,Arizona,8/2/23,8/4/23,,"",,178511,1337,rv,,rv,,8/8/23 09:10,"",https://emersoncollegepolling.com/arizona-2024-senator-kyrsten-sinemas-independent-candidacy-could-help-democrats-for-u-s-senate/,"",false,,9505,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Lamb,30994,Mark Lamb,41.9
83357,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,Arizona,8/2/23,8/4/23,,"",,178512,1337,rv,,rv,,8/8/23 09:12,"",https://emersoncollegepolling.com/arizona-2024-senator-kyrsten-sinemas-independent-candidacy-could-help-democrats-for-u-s-senate/,"",false,,9505,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Gallego,30920,Ruben Gallego,36.8
83357,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,Arizona,8/2/23,8/4/23,,"",,178512,1337,rv,,rv,,8/8/23 09:12,"",https://emersoncollegepolling.com/arizona-2024-senator-kyrsten-sinemas-independent-candidacy-could-help-democrats-for-u-s-senate/,"",false,,9505,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Wright,31053,Brian Wright,25.0
83357,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,Arizona,8/2/23,8/4/23,,"",,178512,1337,rv,,rv,,8/8/23 09:12,"",https://emersoncollegepolling.com/arizona-2024-senator-kyrsten-sinemas-independent-candidacy-could-help-democrats-for-u-s-senate/,"",false,,9505,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,IND,Sinema,30922,Kyrsten Sinema,26.0
83357,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,Arizona,8/2/23,8/4/23,,"",,178513,1337,rv,,rv,,8/8/23 09:12,"",https://emersoncollegepolling.com/arizona-2024-senator-kyrsten-sinemas-independent-candidacy-could-help-democrats-for-u-s-senate/,"",false,,9505,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Gallego,30920,Ruben Gallego,41.0
83357,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,Arizona,8/2/23,8/4/23,,"",,178513,1337,rv,,rv,,8/8/23 09:12,"",https://emersoncollegepolling.com/arizona-2024-senator-kyrsten-sinemas-independent-candidacy-could-help-democrats-for-u-s-senate/,"",false,,9505,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Wright,31053,Brian Wright,38.1
83347,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,Michigan,8/1/23,8/2/23,,"",,178442,1121,rv,,rv,,8/4/23 08:55,"",https://emersoncollegepolling.com/michigan-2024-trump-and-biden-on-course-for-tight-rematch/,"",false,,9515,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Slotkin,31025,Elissa Slotkin,41.9
83347,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,Michigan,8/1/23,8/2/23,,"",,178442,1121,rv,,rv,,8/4/23 08:55,"",https://emersoncollegepolling.com/michigan-2024-trump-and-biden-on-course-for-tight-rematch/,"",false,,9515,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Meijer,31044,Peter Meijer,35.9
83347,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,Michigan,8/1/23,8/2/23,,"",,178443,1121,rv,,rv,,8/4/23 08:56,"",https://emersoncollegepolling.com/michigan-2024-trump-and-biden-on-course-for-tight-rematch/,"",false,,9515,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Slotkin,31025,Elissa Slotkin,43.7
83347,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,Michigan,8/1/23,8/2/23,,"",,178443,1121,rv,,rv,,8/4/23 08:56,"",https://emersoncollegepolling.com/michigan-2024-trump-and-biden-on-course-for-tight-rematch/,"",false,,9515,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Snyder,31051,Nicolette Snyder,35.9
83347,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,Michigan,8/1/23,8/2/23,,"",,178444,1121,rv,,rv,,8/4/23 08:56,"",https://emersoncollegepolling.com/michigan-2024-trump-and-biden-on-course-for-tight-rematch/,"",false,,9515,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Slotkin,31025,Elissa Slotkin,44.0
83347,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,Michigan,8/1/23,8/2/23,,"",,178444,1121,rv,,rv,,8/4/23 08:56,"",https://emersoncollegepolling.com/michigan-2024-trump-and-biden-on-course-for-tight-rematch/,"",false,,9515,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Rogers,31045,Mike Rogers,37.7
83347,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,Michigan,8/1/23,8/2/23,,"",,178445,1121,rv,,rv,,8/4/23 08:56,"",https://emersoncollegepolling.com/michigan-2024-trump-and-biden-on-course-for-tight-rematch/,"",false,,9515,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Slotkin,31025,Elissa Slotkin,44.8
83347,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,Michigan,8/1/23,8/2/23,,"",,178445,1121,rv,,rv,,8/4/23 08:56,"",https://emersoncollegepolling.com/michigan-2024-trump-and-biden-on-course-for-tight-rematch/,"",false,,9515,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Craig,31026,James Craig,37.5
83347,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,Michigan,8/1/23,8/2/23,,"",,178446,1121,rv,,rv,,8/4/23 08:57,"",https://emersoncollegepolling.com/michigan-2024-trump-and-biden-on-course-for-tight-rematch/,"",false,,9515,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Slotkin,31025,Elissa Slotkin,44.5
83347,1102,Emerson College Polling Society,"","",Emerson College,88,Emerson College,A-,IVR/Online Panel/Text-to-Web/Email,Michigan,8/1/23,8/2/23,,"",,178446,1121,rv,,rv,,8/4/23 08:57,"",https://emersoncollegepolling.com/michigan-2024-trump-and-biden-on-course-for-tight-rematch/,"",false,,9515,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Tuttle,31052,John Tuttle,35.3
83308,1753,Ohio Northern University Institute for Civics and Public Policy,"","",Ohio Northern University Institute for Civics and Public Policy,731,Ohio Northern University Institute for Civics and Public Policy,,Online Panel,Ohio,7/17/23,7/26/23,,"",,177411,675,rv,,rv,,7/28/23 09:07,"",https://drive.google.com/file/d/17_phNkcIaWbzbalAWCdOzkttDm2O3GHN/view?pli=1,"",false,,9526,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Brown,31033,Sherrod Brown,44.9
83308,1753,Ohio Northern University Institute for Civics and Public Policy,"","",Ohio Northern University Institute for Civics and Public Policy,731,Ohio Northern University Institute for Civics and Public Policy,,Online Panel,Ohio,7/17/23,7/26/23,,"",,177411,675,rv,,rv,,7/28/23 09:07,"",https://drive.google.com/file/d/17_phNkcIaWbzbalAWCdOzkttDm2O3GHN/view?pli=1,"",false,,9526,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Moreno,31036,Bernie Moreno,28.3
83308,1753,Ohio Northern University Institute for Civics and Public Policy,"","",Ohio Northern University Institute for Civics and Public Policy,731,Ohio Northern University Institute for Civics and Public Policy,,Online Panel,Ohio,7/17/23,7/26/23,,"",,177412,675,rv,,rv,,7/28/23 09:07,"",https://drive.google.com/file/d/17_phNkcIaWbzbalAWCdOzkttDm2O3GHN/view?pli=1,"",false,,9526,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Brown,31033,Sherrod Brown,44.8
83308,1753,Ohio Northern University Institute for Civics and Public Policy,"","",Ohio Northern University Institute for Civics and Public Policy,731,Ohio Northern University Institute for Civics and Public Policy,,Online Panel,Ohio,7/17/23,7/26/23,,"",,177412,675,rv,,rv,,7/28/23 09:07,"",https://drive.google.com/file/d/17_phNkcIaWbzbalAWCdOzkttDm2O3GHN/view?pli=1,"",false,,9526,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Dolan,31034,Matthew J. Dolan,32.9
83308,1753,Ohio Northern University Institute for Civics and Public Policy,"","",Ohio Northern University Institute for Civics and Public Policy,731,Ohio Northern University Institute for Civics and Public Policy,,Online Panel,Ohio,7/17/23,7/26/23,,"",,177413,675,rv,,rv,,7/28/23 09:08,"",https://drive.google.com/file/d/17_phNkcIaWbzbalAWCdOzkttDm2O3GHN/view?pli=1,"",false,,9526,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Brown,31033,Sherrod Brown,45.1
83308,1753,Ohio Northern University Institute for Civics and Public Policy,"","",Ohio Northern University Institute for Civics and Public Policy,731,Ohio Northern University Institute for Civics and Public Policy,,Online Panel,Ohio,7/17/23,7/26/23,,"",,177413,675,rv,,rv,,7/28/23 09:08,"",https://drive.google.com/file/d/17_phNkcIaWbzbalAWCdOzkttDm2O3GHN/view?pli=1,"",false,,9526,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,LaRose,31035,Frank LaRose,32.0
83343,534,Virginia Commonwealth U.,"","",Virginia Commonwealth University,370,Virginia Commonwealth University L. Douglas Wilder School of Government and Public Affairs,B/C,Live Phone,Virginia,7/14/23,7/25/23,,"",,178432,804,a,,a,,8/3/23 13:26,"",https://drive.google.com/file/d/1Jjg0fNOrXLWovi-9UgCJGgyn3fFt9FGD/view,"",false,,9504,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Kaine,30777,Tim Kaine,47.0
83343,534,Virginia Commonwealth U.,"","",Virginia Commonwealth University,370,Virginia Commonwealth University L. Douglas Wilder School of Government and Public Affairs,B/C,Live Phone,Virginia,7/14/23,7/25/23,,"",,178432,804,a,,a,,8/3/23 13:26,"",https://drive.google.com/file/d/1Jjg0fNOrXLWovi-9UgCJGgyn3fFt9FGD/view,"",false,,9504,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Youngkin,30778,Glenn Youngkin,42.0
83303,1191,Advantage Inc.,1951,Fiscal Alliance Foundation,Advantage Inc.,747,Advantage,,,Massachusetts,7/21/23,7/22/23,,"",,176783,750,lv,,lv,,7/27/23 10:53,"",https://www.fiscalalliancefoundation.org/new-statewide-poll-issues-ahead-of-ballot-question-deadline,"",false,,9514,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Warren,31002,Elizabeth Warren,41.2
83303,1191,Advantage Inc.,1951,Fiscal Alliance Foundation,Advantage Inc.,747,Advantage,,,Massachusetts,7/21/23,7/22/23,,"",,176783,750,lv,,lv,,7/27/23 10:53,"",https://www.fiscalalliancefoundation.org/new-statewide-poll-issues-ahead-of-ballot-question-deadline,"",false,,9514,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Polito,31049,Karyn E. Polito,28.67
83278,1800,Noble Predictive Insights,"","",Noble Predictive Insights,235,Noble Predictive Insights,B/C,Online Panel,Arizona,7/13/23,7/17/23,,"",,178421,1000,rv,,rv,,8/3/23 09:56,"",https://www.noblepredictiveinsights.com/post/the-sinema-situation-gallego-s-edge-and-the-enigma-of-sinema-s-independent-run,"",false,,9505,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,DEM,Gallego,30920,Ruben Gallego,34.0
83278,1800,Noble Predictive Insights,"","",Noble Predictive Insights,235,Noble Predictive Insights,B/C,Online Panel,Arizona,7/13/23,7/17/23,,"",,178421,1000,rv,,rv,,8/3/23 09:56,"",https://www.noblepredictiveinsights.com/post/the-sinema-situation-gallego-s-edge-and-the-enigma-of-sinema-s-independent-run,"",false,,9505,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,REP,Lake,30921,Kari Lake,25.0
83278,1800,Noble Predictive Insights,"","",Noble Predictive Insights,235,Noble Predictive Insights,B/C,Online Panel,Arizona,7/13/23,7/17/23,,"",,178421,1000,rv,,rv,,8/3/23 09:56,"",https://www.noblepredictiveinsights.com/post/the-sinema-situation-gallego-s-edge-and-the-enigma-of-sinema-s-independent-run,"",false,,9505,2024,U.S. Senate,0,Class I,11/5/24,general,false,false,,IND,Sinema,30922,Kyrsten Sinema,26.0
