poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,politician_id,politician,yes,no,alternate_answers
84117,568,YouGov,133,CBS News,YouGov,391,YouGov,B+,Online Panel,,9/5/23,9/8/23,,"",,181293,2335,a,,a,,9/11/23 09:58,"",https://www.cbsnews.com/news/age-president-senator-performance-concerns-outweigh-benefits-of-experience/,"",false,,6826,Kamala Harris,41.0,59.0,0
84115,1562,Redfield & Wilton Strategies,"","",Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online Panel,,9/3/23,9/4/23,,"",,181266,1500,rv,,rv,,9/8/23 12:47,"",https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-3-4-september-2023/,"",false,,6826,Kamala Harris,34.0,43.0,23.0
83951,1416,HarrisX,2017,American Free Enterprise Chamber of Commerce,HarrisX,133,Harris Insights & Analytics,B,,,8/17/23,8/21/23,,"",,179946,2327,rv,,rv,,8/23/23 12:41,"",https://harrisx.com/2023/08/amfree-presidential-race-2024/,"",false,REP,6826,Kamala Harris,41.0,47.0,12.0
83917,1575,Leger,"","",Leger,572,Leger,B/C,Online Panel,,8/11/23,8/14/23,,"",,179534,1002,a,,a,,8/17/23 15:20,"",https://legermarketing.wpenginepowered.com/wp-content/uploads/2023/08/Biden-and-Harris-Approval-Ratings-Aug-14th.pdf,"",false,,6826,Kamala Harris,44.0,54.0,2.0
83392,1562,Redfield & Wilton Strategies,"","",Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online Panel,,8/5/23,8/6/23,,"",,178731,1500,rv,,rv,,8/11/23 12:07,"",https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-5-6-august-2023/,"",false,,6826,Kamala Harris,33.0,44.0,23.0
83355,1575,Leger,"","",Leger,572,Leger,B/C,Online Panel,,7/28/23,7/31/23,,"",,178496,1002,a,,a,,8/7/23 20:00,"",https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-july-31-2023/,"",false,,6826,Kamala Harris,41.0,56.0,3.0
83340,1361,SSRS,143,CNN,SSRS,297,SSRS,C+,Live Phone/Probability Panel,,7/1/23,7/31/23,,"",,178420,1279,a,,a,,8/3/23 09:55,"",https://www.cnn.com/2023/08/03/politics/cnn-poll-republicans-think-2020-election-illegitimate/index.html,"",false,,6826,Kamala Harris,42.0,57.0,1.0
83261,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online Panel,,7/14/23,7/17/23,,"",,175914,1000,a,,a,,7/23/23 15:29,"",https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-july-21-2023/,"",false,,6826,Kamala Harris,44.0,54.0,2.0
83235,320,Monmouth U.,"","",Monmouth University,215,Monmouth University,A,Live Phone,,7/12/23,7/17/23,,"",,175747,910,a,,a,,7/19/23 11:13,"",https://www.monmouth.edu/polling-institute/reports/monmouthpoll_us_071923/,"",false,,6826,Kamala Harris,40.0,52.0,7.0
83235,320,Monmouth U.,"","",Monmouth University,215,Monmouth University,A,Live Phone,,7/12/23,7/17/23,,"",,175748,840,rv,,rv,,7/19/23 11:13,"",https://www.monmouth.edu/polling-institute/reports/monmouthpoll_us_071923/,"",false,,6826,Kamala Harris,40.0,53.0,7.0
83213,1562,Redfield & Wilton Strategies,"","",Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online Panel,,7/6/23,7/6/23,,"",,175589,1500,rv,,rv,,7/14/23 13:02,"",https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-6-july-2023/,"",false,,6826,Kamala Harris,35.0,44.0,14.0
83121,1597,Beacon Research/Shaw & Company,149,FOX News,Beacon Research/Shaw & Company Research,103,Beacon Research/Shaw & Co. Research,A,Live Phone,,6/23/23,6/26/23,,"",,175270,1005,rv,,rv,,6/29/23 19:06,"",https://www.foxnews.com/official-polls/fox-news-poll-voters-arent-convinced-economy-improving,"",false,,6826,Kamala Harris,41.0,56.0,3.0
83139,1562,Redfield & Wilton Strategies,"","",Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online Panel,,6/25/23,6/25/23,,"",,175282,1500,rv,,rv,,6/30/23 12:35,"",https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-25-june-2023/,"",false,,6826,Kamala Harris,35.0,40.0,23.0
83064,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online Panel,,6/16/23,6/19/23,,"",,174899,1003,a,,a,,6/21/23 19:11,"",https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-june-21-2023/,"",false,,6826,Kamala Harris,42.0,55.0,3.0
83029,1562,Redfield & Wilton Strategies,"","",Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online Panel,,6/10/23,6/11/23,,"",,174619,1500,rv,,rv,,6/16/23 12:37,"",https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-10-11-june-2023/,"",false,,6826,Kamala Harris,37.0,45.0,19.0
83022,568,YouGov,278,UMass Amherst,YouGov,391,YouGov,B+,Online Panel,,5/31/23,6/8/23,,"",,174572,1133,a,,a,,6/16/23 10:00,"",https://polsci.umass.edu/toplines-and-crosstabs-june-2023-juneteenth-poll-national-politics,"",false,,6826,Kamala Harris,39.0,51.0,10.0
82957,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online Panel,,6/2/23,6/5/23,,"",,174181,1002,a,,a,,6/7/23 13:31,"",https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-june-7-2023/,"",false,,6826,Kamala Harris,38.0,60.0,2.0
82932,1562,Redfield & Wilton Strategies,"","",Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online Panel,,5/31/23,5/31/23,,"",,174077,1500,rv,,rv,,6/2/23 14:00,"",https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-31-may-2023/,"",false,,6826,Kamala Harris,33.0,48.0,19.0
82872,320,Monmouth U.,"","",Monmouth University,215,Monmouth University,A,Live Phone,,5/18/23,5/23/23,,"",,173507,981,a,,a,,5/24/23 11:20,"",https://www.monmouth.edu/polling-institute/reports/monmouthpoll_us_052423/,"",false,,6826,Kamala Harris,37.0,52.0,11.0
82872,320,Monmouth U.,"","",Monmouth University,215,Monmouth University,A,Live Phone,,5/18/23,5/23/23,,"",,173508,907,rv,,rv,,5/24/23 11:20,"",https://www.monmouth.edu/polling-institute/reports/monmouthpoll_us_052423/,"",false,,6826,Kamala Harris,37.0,53.0,10.0
82849,1562,Redfield & Wilton Strategies,"","",Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online Panel,,5/17/23,5/17/23,,"",,173329,1500,rv,,rv,,5/19/23 14:26,"",https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-17-may-2023/,"",false,,6826,Kamala Harris,36.0,44.0,21.0
82782,1575,Leger,"1436,1783",The Canadian Press | The Association for Canadian Studies,Leger,572,Leger,B/C,Online Panel,,5/5/23,5/8/23,,"",,173107,1002,a,,a,,5/10/23 20:16,"",https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-may-10-2023/,"",false,,6826,Kamala Harris,39.0,59.0,3.0
82786,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online Panel,,5/5/23,5/8/23,,"",,173055,1584,a,,a,,5/10/23 09:47,"",https://news.yahoo.com/new-yahoo-news-poll-shows-biden-still-leads-trump-for-2024-100012891.html,"",false,,6826,Kamala Harris,40.0,46.0,14.0
82786,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online Panel,,5/5/23,5/8/23,,"",,173056,1059,rv,,rv,,5/10/23 09:47,"",https://news.yahoo.com/new-yahoo-news-poll-shows-biden-still-leads-trump-for-2024-100012891.html,"",false,,6826,Kamala Harris,43.0,49.0,8.0
82727,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,4/29/23,5/2/23,,"",,172651,1500,a,,a,,5/3/23 09:55,"",https://docs.cdn.yougov.com/cxqrokhwtq/econtoplines.pdf,"",false,,6826,Kamala Harris,41.0,44.0,15.0
82727,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,4/29/23,5/2/23,,"",,172652,1357,rv,,rv,,5/3/23 09:55,"",https://docs.cdn.yougov.com/qsy7ekuxik/econTabReport.pdf,"",false,,6826,Kamala Harris,41.0,49.0,9.0
82701,1562,Redfield & Wilton Strategies,"","",Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online Panel,,4/24/23,4/24/23,,"",,172525,1500,rv,,rv,,4/28/23 15:56,"",https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-24-april-2023/,"",false,,6826,Kamala Harris,39.0,47.0,15.0
82672,568,YouGov,133,CBS News,YouGov,391,YouGov,B+,Online Panel,,4/21/23,4/24/23,,"",,172371,2093,a,,a,,4/26/23 09:41,"",https://www.cbsnews.com/news/democrats-biden-reelection-bid-acceptance-more-than-excitement-poll-2023-04-24/,"",false,,6826,Kamala Harris,43.0,57.0,0
82682,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online Panel,,4/21/23,4/24/23,,"",,172370,1005,a,,a,,4/26/23 09:40,"",https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-april-25-2023/,"",false,,6826,Kamala Harris,42.0,56.0,1.0
82687,1597,Beacon Research/Shaw & Company,149,FOX News,Beacon Research/Shaw & Company Research,103,Beacon Research/Shaw & Co. Research,A,Live Phone,,4/21/23,4/24/23,,"",,172436,1004,rv,,rv,,4/26/23 19:30,"",https://www.foxnews.com/official-polls/fox-news-poll-trump-still-top-2024-republican-preference-desantis-slipping,"",false,,6826,Kamala Harris,43.0,54.0,3.0
82630,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online Panel,,4/14/23,4/15/23,,"",,172065,1001,a,,a,,4/19/23 10:35,"",https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-april-18-2023/,"",false,,6826,Kamala Harris,41.0,56.0,3.0
82557,1562,Redfield & Wilton Strategies,"","",Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online Panel,,4/4/23,4/4/23,,"",,171783,1500,rv,,rv,,4/7/23 12:05,"",https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-4-april-2023/,"",false,,6826,Kamala Harris,35.0,44.0,21.0
82549,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online Panel,,3/31/23,4/2/23,,"",,171747,1006,a,,a,,4/6/23 18:15,"",https://legermarketing.wpenginepowered.com/wp-content/uploads/2023/04/Legers-North-American-Tracker-Apr-3rd-2023.pdf,"",false,,6826,Kamala Harris,44.0,53.0,3.0
82512,1709,Big Village,"","",Big Village,37,Big Village,B-,Online Panel,,3/29/23,3/31/23,,"",,171582,1005,a,,a,,4/3/23 11:48,"",https://big-village.com/public-opinion-polling/,"",false,,6826,Kamala Harris,42.0,46.3,11.7
82450,1562,Redfield & Wilton Strategies,"","",Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online Panel,,3/20/23,3/20/23,,"",,171135,1500,rv,,rv,,3/24/23 13:26,"",https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-20-march-2023/,"",false,,6826,Kamala Harris,37.0,43.0,20.0
82419,320,Monmouth U.,"","",Monmouth University,215,Monmouth University,A,Live Phone,,3/16/23,3/20/23,,"",,170881,805,a,,a,,3/21/23 14:49,"",https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_032123/,"",false,,6826,Kamala Harris,36.0,53.0,12.0
82419,320,Monmouth U.,"","",Monmouth University,215,Monmouth University,A,Live Phone,,3/16/23,3/20/23,,"",,170884,748,rv,,rv,,3/21/23 14:55,"",https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_032123/,"",false,,6826,Kamala Harris,37.0,53.0,10.0
82502,1575,Leger,"1436,1783",The Canadian Press | The Association for Canadian Studies,Leger,572,Leger,B/C,Online Panel,,3/17/23,3/19/23,,"",,171548,1006,a,,a,,4/1/23 15:27,"",https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-march-29-2023/,"",false,,6826,Kamala Harris,43.0,54.0,3.0
82418,1709,Big Village,"","",Big Village,37,Big Village,B-,Online Panel,,3/15/23,3/17/23,,"",,170875,1007,a,,a,,3/21/23 09:26,"",https://big-village.com/public-opinion-polling/,"",false,,6826,Kamala Harris,42.0,45.5,12.5
82401,1575,Leger,"1436,1783",The Canadian Press | The Association for Canadian Studies,Leger,572,Leger,B/C,Online Panel,,3/10/23,3/12/23,,"",,170808,1007,a,,a,,3/17/23 09:56,"",https://leger360.com/surveys/legers-north-american-tracker-march-16-2023/,"",false,,6826,Kamala Harris,42.0,56.0,3.0
82350,1575,Leger,"1436,1783",The Canadian Press | The Association for Canadian Studies,Leger,572,Leger,B/C,Online Panel,,3/3/23,3/5/23,,"",,170591,1004,a,,a,,3/9/23 10:53,"",https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-march-8-2023/,"",false,,6826,Kamala Harris,43.0,53.0,4.0
82237,1562,Redfield & Wilton Strategies,"","",Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online Panel,,2/19/23,2/19/23,,"",,169173,1500,rv,,rv,,2/22/23 15:11,"",https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-19-february-2023/,"",false,,6826,Kamala Harris,38.0,40.0,22.0
82260,1575,Leger,"1436,1783",The Canadian Press | The Association for Canadian Studies,Leger,572,Leger,B/C,Online Panel,,2/17/23,2/19/23,,"",,169342,1002,a,,a,,2/24/23 17:10,"",https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-february-24-2023/,"",false,,6826,Kamala Harris,41.0,56.0,3.0
82217,1709,Big Village,"","",Big Village,37,Big Village,B-,Online Panel,,2/15/23,2/17/23,,"",,169073,1010,a,,a,,2/17/23 15:13,"",https://big-village.com/public-opinion-polling/,"",false,,6826,Kamala Harris,42.0,46.6,11.4
82249,1575,Leger,"1436,1783",The Canadian Press | The Association for Canadian Studies,Leger,572,Leger,B/C,Online Panel,,2/10/23,2/13/23,,"",,169210,1000,a,,a,,2/23/23 09:47,"",https://leger360.com/surveys/legers-north-american-tracker-february-15-2023/,"",false,,6826,Kamala Harris,42.0,55.0,3.0
82168,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online Panel,,2/3/23,2/5/23,,"",,168731,1001,a,,a,,2/10/23 16:21,"",https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-february-6-2023/,"",false,,6826,Kamala Harris,42.0,55.0,3.0
82095,1597,Beacon Research/Shaw & Company,149,FOX News,Beacon Research/Shaw & Company Research,103,Beacon Research/Shaw & Co. Research,A,Live Phone,,1/27/23,1/30/23,,"",,167890,1003,rv,,rv,,2/1/23 19:07,"",https://www.foxnews.com/official-polls/fox-news-poll-state-union-dysfunction-dissatisfaction-disapproval,"",false,,6826,Kamala Harris,39.0,57.0,4.0
82105,1562,Redfield & Wilton Strategies,"","",Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online Panel,,1/28/23,1/29/23,,"",,167913,1500,rv,,rv,,2/3/23 13:29,"",https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-28-29-january-2023/,"",false,,6826,Kamala Harris,38.0,41.0,21.0
82066,1575,Leger,"1436,1783",The Canadian Press | The Association for Canadian Studies,Leger,572,Leger,B/C,Online Panel,,1/20/23,1/22/23,,"",,167690,1005,a,,a,,1/27/23 09:35,"",https://leger360.com/surveys/legers-north-american-tracker-january-26-2023/,"",false,,6826,Kamala Harris,40.0,57.0,3.0
82017,1709,Big Village,"","",Big Village,37,Big Village,B-,Online Panel,,1/18/23,1/20/23,,"",,169074,1012,a,,a,,2/17/23 15:24,"",https://s3.amazonaws.com/cdn.big-village.com/big-village/2023/01/Big-Village-Politics-Poll-01.20.23.pdf,"",false,,6826,Kamala Harris,41.7,46.3,12.0
82012,1562,Redfield & Wilton Strategies,"","",Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online Panel,,1/16/23,1/16/23,,"",,167286,2000,rv,,rv,,1/20/23 09:19,"",https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-16-january-2023/,"",false,,6826,Kamala Harris,35.0,42.0,23.0
81984,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online Panel,,1/6/23,1/9/23,,"",,167124,1000,a,,a,,1/17/23 10:10,"",https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-january-12-2023/,"",false,,6826,Kamala Harris,41.0,56.0,4.0
81963,1709,Big Village,"","",Big Village,37,Big Village,B-,Online Panel,,1/4/23,1/6/23,,"",,169075,1012,a,,a,,2/17/23 15:24,"",https://s3.amazonaws.com/cdn.big-village.com/big-village/2023/01/CRMiw4ue-Big-Village-Politics-Poll-01.06.23.pdf,"",false,,6826,Kamala Harris,43.1,45.5,11.4
